"Date","X_00060_00003","X_99133_00003"
"01/01/16",931,15
"01/02/16",894,15.1
"01/03/16",852,15.2
"01/04/16",800,15.1
"01/05/16",775,15.1
"01/06/16",750,15.1
"01/07/16",787,14.2
"01/08/16",767,14.1
"01/09/16",581,14.2
"01/10/16",414,15
"01/11/16",580,15.2
"01/12/16",533,15.3
"01/13/16",559,15.1
"01/14/16",592,14.6
"01/15/16",565,14.5
"01/16/16",542,14.7
"01/17/16",536,15.2
"01/18/16",550,15.7
"01/19/16",589,15.7
"01/20/16",621,15.2
"01/21/16",580,14.7
"01/22/16",533,14.6
"01/23/16",539,14.5
"01/24/16",533,14.5
"01/25/16",550,14.5
"01/26/16",510,14.4
"01/27/16",492,14.2
"01/28/16",492,14.2
"01/29/16",482,14.3
"01/30/16",477,14.2
"01/31/16",473,14
"02/01/16",480,13.6
"02/02/16",471,13.4
"02/03/16",376,13.2
"02/04/16",349,13.6
"02/05/16",352,13.9
"02/06/16",382,14.3
"02/07/16",385,13.9
"02/08/16",342,14.1
"02/09/16",297,14.7
"02/10/16",266,15.3
"02/11/16",233,15
"02/12/16",260,14.8
"02/13/16",230,14.7
"02/14/16",254,14.5
"02/15/16",291,14.3
"02/16/16",321,13.9
"02/17/16",297,13.4
"02/18/16",361,12.9
"02/19/16",775,11.8
"02/20/16",3470,7.17
"02/21/16",3760,8.4
"02/22/16",3320,9.83
"02/23/16",2620,11
"02/24/16",2150,11.6
"02/25/16",1810,12.2
"02/26/16",1520,12.4
"02/27/16",1450,12.4
"02/28/16",1650,12.1
"02/29/16",1570,12
"03/01/16",1300,12.5
"03/02/16",1120,12.9
"03/03/16",1030,13.2
"03/04/16",951,13.3
"03/05/16",914,13.3
"03/06/16",902,13.2
"03/07/16",980,12.9
"03/08/16",1010,12.6
"03/09/16",977,12.8
"03/10/16",904,13.4
"03/11/16",822,13.7
"03/12/16",773,13.8
"03/13/16",762,13.8
"03/14/16",751,13.7
"03/15/16",728,13.6
"03/16/16",694,13.6
"03/17/16",658,13.5
"03/18/16",624,13.6
"03/19/16",589,13.6
"03/20/16",566,13.7
