Date,X_00060_00003,X_99133_00003
1/1/16,719.25,NA
1/2/16,700.823,NA
1/3/16,671.635,NA
1/4/16,651.333,NA
1/5/16,607.51,NA
1/6/16,598.76,NA
1/7/16,663.562,NA
1/8/16,746.094,NA
1/9/16,789.095,NA
1/10/16,547.302,NA
1/11/16,491.583,NA
1/12/16,674.969,NA
1/13/16,577.198,NA
1/14/16,633.125,NA
1/15/16,643.531,NA
1/16/16,494.99,NA
1/17/16,371.323,NA
1/18/16,305.052,NA
1/19/16,422.448,NA
1/20/16,444.604,NA
1/21/16,515.24,NA
1/22/16,491.531,NA
1/23/16,425.604,NA
1/24/16,450.792,NA
1/25/16,463.583,NA
1/26/16,407.99,NA
1/27/16,397.781,NA
1/28/16,417.667,NA
1/29/16,379.167,NA
1/30/16,454.583,NA
1/31/16,448.698,NA
2/1/16,521.75,NA
2/2/16,576.167,NA
2/3/16,471.302,NA
2/4/16,317.833,NA
2/5/16,437.156,NA
2/6/16,496.396,NA
2/7/16,437.5,NA
2/8/16,405.917,NA
2/9/16,302.635,NA
2/10/16,276.417,NA
2/11/16,332.865,NA
2/12/16,397.021,NA
2/13/16,352.125,NA
2/14/16,315.167,NA
2/15/16,347.344,NA
2/16/16,496.083,NA
2/17/16,447.729,NA
2/18/16,462.677,NA
2/19/16,1772.82,NA
2/20/16,3087.19,NA
2/21/16,2510.52,NA
2/22/16,1925.21,NA
2/23/16,1570.62,NA
2/24/16,1417.19,NA
2/25/16,1180.51,NA
2/26/16,1044.05,NA
2/27/16,868.479,NA
2/28/16,1074.29,NA
2/29/16,922.667,NA
3/1/16,735.844,NA
3/2/16,633.656,NA
3/3/16,654.031,NA
3/4/16,583.833,NA
3/5/16,549.365,NA
3/6/16,517.906,NA
3/7/16,531.823,NA
3/8/16,545.365,NA
3/9/16,475.229,NA
3/10/16,444.385,NA
3/11/16,448.406,NA
3/12/16,443.469,NA
3/13/16,462.359,NA
3/14/16,506.458,NA
3/15/16,429.771,NA
3/16/16,435.292,NA
3/17/16,424.833,NA
3/18/16,389.052,NA
3/19/16,405.208,NA
3/20/16,405.281,NA
3/21/16,355.25,NA
3/22/16,370.948,NA
3/23/16,392.448,NA
3/24/16,441.146,NA
3/25/16,474.927,NA
3/26/16,472.562,NA
3/27/16,422.062,NA
3/28/16,391.295,NA
3/29/16,386.354,NA
3/30/16,441.365,NA
3/31/16,460.177,0.115
4/1/16,422.198,0.11
4/2/16,351.396,NA
4/3/16,377.323,NA
4/4/16,368.708,0.11
4/5/16,354.177,0.110449
4/6/16,371.865,0.114583
4/7/16,362.802,0.5536
4/8/16,325.99,NA
4/9/16,278.333,NA
4/10/16,334.125,NA
4/11/16,330.76,NA
4/12/16,285.927,NA
4/13/16,282.854,NA
4/14/16,296.146,NA
4/15/16,255.021,NA
4/16/16,267.042,NA
4/17/16,286.427,NA
4/18/16,317.688,NA
4/19/16,325.979,NA
4/20/16,400.24,NA
4/21/16,588.896,11.5339
4/22/16,625.594,11.353
4/23/16,491.948,11.3744
4/24/16,466.51,11.4049
4/25/16,406.052,11.2592
4/26/16,409.417,11.0868
4/27/16,452.792,10.8564
4/28/16,1061.22,11.048
4/29/16,1095.26,11.8416
4/30/16,1904.69,11.364
5/1/16,2920.74,12.3846
5/2/16,2347.19,12.4517
5/3/16,1746.15,12.8517
5/4/16,1441.67,13.9621
5/5/16,1116.5,14.7338
5/6/16,969.99,14.4179
